sample_id,species,batch,treatment,ultrasound
825,H. illucens,1,C,1
826,H. illucens,1,C,1
827,H. illucens,1,C,1
828,H. illucens,1,C,1
829,H. illucens,1,C,1
830,H. illucens,1,C,1
831,H. illucens,1,C,1
832,H. illucens,1,C,1
833,H. illucens,1,C,1
834,H. illucens,1,C,1
835,H. illucens,1,C,1
836,H. illucens,1,C,1
837,H. illucens,1,C,1
838,H. illucens,1,C,1
839,H. illucens,1,C,1
840,H. illucens,1,C,1
841,H. illucens,1,C,1
842,H. illucens,1,C,1
843,H. illucens,1,C,1
844,H. illucens,1,C,1
845,H. illucens,1,C,1
846,H. illucens,1,C,1
847,H. illucens,1,C,1
848,H. illucens,1,C,1
849,H. illucens,1,C,1
850,H. illucens,1,C,0
851,H. illucens,1,C,0
852,H. illucens,1,C,0
853,H. illucens,1,C,0
854,H. illucens,1,C,0
855,H. illucens,1,C,0
856,H. illucens,1,C,0
857,H. illucens,1,C,0
858,H. illucens,1,C,0
859,H. illucens,1,C,0
860,H. illucens,1,C,0
861,H. illucens,1,C,0
862,H. illucens,1,C,0
863,H. illucens,1,C,0
864,H. illucens,1,C,0
865,H. illucens,1,C,0
866,H. illucens,1,C,0
867,H. illucens,1,C,0
868,H. illucens,1,C,0
869,H. illucens,1,C,0
870,H. illucens,1,C,0
871,H. illucens,1,C,0
872,H. illucens,1,C,0
873,H. illucens,1,C,0
874,H. illucens,1,C,0
875,H. illucens,1,C,0
876,H. illucens,1,C,0
877,H. illucens,1,C,0
878,H. illucens,1,C,0
879,H. illucens,1,C,0
880,H. illucens,1,C,0
881,H. illucens,1,C,0
882,H. illucens,1,C,0
883,H. illucens,1,C,0
884,H. illucens,1,C,0
885,H. illucens,1,C,0
886,H. illucens,1,C,0
887,H. illucens,1,C,0
888,H. illucens,1,C,0
889,H. illucens,1,C,0
890,H. illucens,1,C,0
891,H. illucens,1,C,0
892,H. illucens,1,C,0
893,H. illucens,1,C,0
894,H. illucens,1,C,0
895,H. illucens,1,C,0
896,H. illucens,1,C,0
897,H. illucens,1,C,0
898,H. illucens,1,C,0
899,H. illucens,1,C,0
900,A. domesticus,2,A,1
901,A. domesticus,2,A,1
902,A. domesticus,2,A,1
903,A. domesticus,2,A,1
904,A. domesticus,2,A,1
905,A. domesticus,2,A,1
906,A. domesticus,2,A,1
907,A. domesticus,2,A,1
908,A. domesticus,2,A,1
909,A. domesticus,2,A,1
910,A. domesticus,2,A,1
911,A. domesticus,2,A,1
912,A. domesticus,2,A,1
913,A. domesticus,2,A,1
914,A. domesticus,2,A,1
915,A. domesticus,2,A,1
916,A. domesticus,2,A,1
917,A. domesticus,2,A,1
918,A. domesticus,2,A,1
919,A. domesticus,2,A,1
920,A. domesticus,2,A,1
921,A. domesticus,2,A,1
922,A. domesticus,2,A,1
923,A. domesticus,2,A,1
924,A. domesticus,2,A,1
925,A. domesticus,2,A,1
926,A. domesticus,2,A,1
927,A. domesticus,2,A,1
928,A. domesticus,2,A,1
929,A. domesticus,2,A,1
930,A. domesticus,2,A,1
931,A. domesticus,2,A,1
932,A. domesticus,2,A,1
933,A. domesticus,2,A,1
934,A. domesticus,2,A,1
935,A. domesticus,2,A,1
936,A. domesticus,2,A,1
937,A. domesticus,2,A,1
938,A. domesticus,2,A,1
939,A. domesticus,2,A,1
940,A. domesticus,2,A,1
941,A. domesticus,2,A,1
942,A. domesticus,2,A,1
943,A. domesticus,2,A,1
944,A. domesticus,2,A,1
945,A. domesticus,2,A,1
946,A. domesticus,2,A,1
947,A. domesticus,2,A,1
948,A. domesticus,2,A,1
949,A. domesticus,2,A,1
950,A. domesticus,2,A,0
951,A. domesticus,2,A,0
952,A. domesticus,2,A,0
953,A. domesticus,2,A,0
954,A. domesticus,2,A,0
955,A. domesticus,2,A,0
956,A. domesticus,2,A,0
957,A. domesticus,2,A,0
958,A. domesticus,2,A,0
959,A. domesticus,2,A,0
960,A. domesticus,2,A,0
961,A. domesticus,2,A,0
962,A. domesticus,2,A,0
963,A. domesticus,2,A,0
964,A. domesticus,2,A,0
